87762455,I
93145496,I
26375363,I
59346607,I
40155331,I
55686695,I
83872071,I
21535410,I
36862635,I
19301002,I
93385824,I
69244211,I
31469799,I
66370797,I
39043574,I
55005728,I
51211380,I
66380538,I
21852101,I
28050132,I
74032560,I
54665821,I
70390102,I
64458180,I
76176857,I
78908260,I
98818454,I
13869442,I
92948756,I
57680084,I
65131880,I
26616635,I
23105730,I
23004403,I
35572600,I
17043200,I
52384748,I
58470942,I
71665461,I
97940331,I
51409200,I
93392413,I
16056357,I
21165946,I
21710666,I
19068088,I
43691182,I
43722174,I
96513395,I
29288566,I
43934211,I
22457499,I
89959633,I
26587380,I
21832640,I
32686649,I
91085487,I
83278672,I
28308349,I
63924215,I
69605552,I
12333750,I
86010799,I
12124583,I
49346114,I
66412021,I
87355956,I
25742743,I
19137630,I
57156911,I
49748405,I
72928755,I
79369394,I
60130405,I
90090410,I
27166281,I
29387435,I
99606931,I
47857773,I
55122722,I
91624525,I
14863473,I
18113098,I
89083172,I
95160263,I
78012786,I
81410381,I
86214023,I
35686381,I
27149913,I
34191124,I
35877669,I
79656170,I
77553475,I
18145153,I
56274299,I
71471235,I
40017771,I
93698288,I
31935926,I
47734538,I
80445979,I
29245185,I
40652602,I
57489142,I
44493632,I
36193501,I
43893282,I
21705643,I
48824441,I
11464414,I
23384057,I
74844401,I
58116973,I
57318716,I
98468273,I
17026577,I
12291972,I
21307704,I
59989928,I
45376926,I
24916715,I
84930384,I
99158910,I
35515055,I
63678255,I
73389458,I
10649494,I
53988396,I
67810601,I
57822762,I
28155560,I
41743600,I
72466339,I
30340004,I
69327199,I
79883066,I
15573577,I
74576532,I
78750717,I
86626709,I
39902348,I
66680469,I
94778677,I
94935734,I
32429751,I
92859868,I
94177458,I
30532308,I
29921608,I
63905106,I
73991524,I
76503531,I
50956653,I
71984484,I
42502841,I
41291021,I
93735968,I
76691792,I
10674875,I
28659114,I
47435171,I
40164067,I
40873324,I
61927143,I
19684771,I
53463553,I
87761170,I
38621046,I
31185071,I
22412990,I
62546166,I
21467788,I
47011641,I
64905685,I
93150041,I
50690433,I
73348652,I
50296665,I
29675740,I
88240837,I
45560272,I
26425393,I
30040302,I
98282762,I
46419558,I
43829556,I
31600586,I
35284642,I
70375560,I
52023939,I
47840575,I
23525729,I
91478377,I
77429708,I
76326517,I
41889430,I
33230161,I
89246267,I
98814564,I
36720307,I
58199161,I
24574078,I
87719163,I
26981602,I
26584795,I
25928620,I
40293567,I
27884406,I
49006671,I
30393966,I
87989026,I
81444322,I
81605200,I
78921525,I
47344977,I
31669867,I
12414644,I
83031752,I
34437833,I
42610734,I
93085982,I
50747835,I
46557950,I
60685381,I
88559122,I
60983951,I
67834201,I
36180902,I
68813667,I
77925694,I
53897593,I
75483802,I
69484295,I
28033234,I
76100938,I
89646565,I
72495076,I
67281577,I
31306676,I
68209050,I
89149022,I
77863469,I
29944786,I
38155798,I
83000898,I
45864349,I
52683115,I
11821770,I
44299635,I
83753416,I
47631354,I
32180482,I
63726468,I
74047586,I
88108508,I
37114414,I
73224374,I
75747600,I
19200834,I
42468148,I
18596181,I
18264433,I
94771626,I
67224124,I
57416729,I
45062332,I
78517681,I
43844096,I
54746747,I
50432011,I
24294597,I
88067460,I
94050382,I
77007700,I
53363507,I
81574320,I
72483601,I
99805480,I
42650457,I
39597194,I
92863697,I
21393007,I
99628470,I
31182586,I
26640194,I
46226713,I
97794977,I
82240551,I
69315138,I
36586661,I
25584624,I
56169578,I
89926657,I
12458274,I
23511369,I
88970137,I
48941973,I
71872069,I
40556196,I
78213259,I
56213534,I
30671427,I
42124575,I
55615438,I
83877504,I
67147237,I
35541608,I
63081651,I
54892061,I
68011324,I
48322358,I
61171692,I
40319037,I
74268495,I
36779344,I
96523855,I
17274410,I
48027192,I
23869298,I
11606026,I
67451822,I
82961388,I
